0.10547	-0.39209	-0.91919
0.10876	-0.32849	-0.92993
0.09741	-0.31091	-0.94360
0.06030	-0.00244	-0.93604
0.08533	0.31775	-0.89893
0.06873	0.57544	-0.76221
0.06189	0.76343	-0.59692
0.10010	0.92017	-0.29895
0.19897	0.89197	0.03259
0.16785	0.91016	0.17993
0.19312	0.87109	0.36536
0.19751	0.85632	0.45618
0.16956	0.76758	0.62341
0.19006	0.67883	0.75806
0.10217	0.42432	0.92139
0.08411	0.22131	0.96655
0.06775	-0.11365	1.07458
0.02905	-0.18079	0.86353
0.13123	-0.37366	0.96484
0.18860	-0.62000	0.89795
0.12268	-0.72205	0.83044
0.09546	-0.90723	0.60327
0.06482	-0.92480	0.48364
0.05151	-0.99695	0.36023
0.00610	-1.04248	0.04810
0.05273	-1.00854	-0.18799
0.01819	-0.86206	-0.52979
0.13745	-0.68201	-0.68677
0.16016	-0.52612	-0.87878
0.14819	-0.45239	-0.90332
0.23059	-0.07996	-0.97205
0.26672	0.08411	-0.99707
0.12036	0.43542	-0.81958
0.17346	0.44421	-0.76343
0.17285	0.78235	-0.59619
0.10559	0.82678	-0.29895
0.06812	0.88379	-0.06226
0.16541	0.99731	0.16846
0.06824	0.88965	0.41272
0.02332	0.88745	0.48914
0.10132	0.67053	0.64307
0.15759	0.38538	0.91479
0.14038	0.36353	0.94604
0.10754	0.43884	0.98596
0.16211	0.58704	0.82227
0.19885	0.86182	0.40247
0.16443	0.83472	-0.00427
0.06006	0.87463	-0.39868
0.01624	0.67761	-0.65222
-0.01782	0.34680	-0.84534
0.00647	0.14954	-0.97607
-0.04712	-0.21130	-0.95862
-0.09705	-0.44751	-0.83752
-0.04749	-0.57031	-0.79077
0.07043	-0.82898	-0.55908
0.22437	-1.01904	-0.26074
0.17371	-1.01501	-0.03210
0.11646	-0.96289	0.34033
0.05615	-1.01282	0.65076
0.15100	-0.66138	0.63037
0.08691	-0.53564	0.90295
0.01306	-0.30591	0.98914
-0.03406	-0.04138	1.04529
0.03601	0.13416	1.03027
-0.02502	0.46863	0.86670
-0.06323	0.58643	0.76855
-0.00977	0.73132	0.57153
0.05127	0.92395	0.43726
0.14148	0.91223	0.06860
0.14746	0.91064	-0.06702
0.02197	0.98169	-0.41333
0.15015	0.69934	-0.48926
0.12354	0.48572	-0.70422
-0.04382	0.27295	-0.94348
-0.10254	0.00073	-0.96680
-0.05688	-0.13013	-0.92517
-0.08508	-0.31360	-0.91309
-0.03711	-0.44177	-0.88342
0.03503	-0.76160	-0.67187
0.14905	-0.97791	-0.50549
0.13464	-0.92969	-0.28308
0.23560	-1.01453	-0.03430
0.10242	-0.99255	0.44873
0.07495	-0.79248	0.74280
0.09216	-0.67456	0.81335
0.06128	-0.49988	0.89832
0.02563	-0.36462	0.98242
0.04199	-0.40955	0.94751
-0.14819	-0.54065	0.82556
-0.55225	-0.58301	0.60400
-0.87939	-0.46411	0.21960
-0.83948	-0.31897	-0.09497
-0.81128	-0.20972	-0.40857
-0.64282	-0.14490	-0.45837
-0.64709	-0.02844	-0.74390
-0.30957	-0.11975	-0.81299
-0.06274	-0.09192	-0.96985
0.00134	-0.14526	-0.99609
0.14697	-0.16028	-0.93896
0.71582	0.05103	-0.77087
0.89600	0.11548	-0.43140
1.06189	0.09351	-0.12451
1.05579	0.08472	0.19873
1.00867	0.09961	0.51770
0.82056	0.09106	0.60718
0.69458	0.12219	0.84900
0.45557	0.10242	0.94714
0.27869	0.06042	0.94495
-0.02856	0.05151	1.02295
-0.39600	-0.02783	0.92578
-0.66565	-0.04895	0.78967
-0.79028	-0.15698	0.38025
-0.81982	-0.19592	0.03760
-0.82446	-0.17285	-0.26123
-0.64404	-0.20691	-0.56140
-0.52283	-0.13953	-0.75769
-0.33655	-0.16382	-0.86804
-0.10242	-0.16333	-0.93506
0.25366	-0.09912	-0.92786
0.33887	-0.07263	-0.82092
0.83240	-0.22510	-0.85559
0.87903	-0.00208	-0.53345
1.07153	0.05139	-0.30713
1.04675	0.05933	-0.00366
1.07202	0.00500	0.18982
0.90613	0.10144	0.47949
0.90918	-0.00671	0.59998
0.75671	-0.00427	0.81055
0.67920	0.00391	0.81873
0.42529	0.03027	0.97131
0.19385	-0.01965	1.05164
-0.24097	-0.11047	0.93201
-0.58081	-0.11768	0.84888
-0.81067	-0.17102	0.51990
-0.84277	-0.20813	0.11792
-0.74146	-0.25159	-0.18298
-0.78601	-0.15149	-0.54883
-0.60950	-0.18689	-0.61743
-0.50562	-0.15002	-0.81970
-0.22485	-0.23120	-0.94421
0.26965	-0.15198	-0.94751
0.58154	0.01196	-0.78894
0.78662	0.01111	-0.58289
1.03992	0.01111	-0.30298
1.10315	0.03845	0.07129
1.03149	0.05078	0.41309
0.92566	0.04163	0.65320
0.70056	0.05884	0.78015
0.46069	0.03442	0.99963
0.23279	-0.01855	1.01672
-0.11243	-0.05981	0.99646
-0.69421	-0.08362	0.62280
-0.89917	-0.02734	0.29675
-0.84692	-0.07019	-0.02002
-0.89514	-0.06213	-0.24207
-0.79346	-0.07593	-0.40247
-0.67786	-0.10510	-0.59839
-0.57861	-0.12744	-0.66748
-0.53906	-0.11597	-0.72717
-0.70007	-0.06177	-0.58240
-0.87927	-0.03906	-0.31934
-0.90210	-0.04919	0.03040
-0.83496	-0.03979	0.32947
-0.70312	-0.06897	0.64404
-0.45386	-0.03210	0.86426
-0.10938	0.02954	0.98132
0.15723	0.10706	1.00842
0.31580	0.09851	0.99133
0.42737	0.09436	0.98437
0.55615	0.06909	0.89514
0.60010	0.08948	0.87341
0.73938	0.11047	0.84839
0.98450	-0.05273	0.41882
1.07141	-0.00500	0.33191
1.07251	-0.00012	-0.03589
1.02991	0.00085	-0.29687
0.75012	-0.07605	-0.67151
0.56018	-0.16113	-0.81836
0.21045	-0.23376	-0.94177
-0.08154	-0.32910	-0.97559
-0.13269	-0.28333	-0.91650
-0.47327	-0.24756	-0.73254
-0.64771	-0.19678	-0.56006
-0.79675	-0.11609	-0.31348
-0.93433	-0.07629	-0.09607
-0.85828	-0.05737	0.20654
-0.79980	-0.01416	0.43164
-0.71228	0.04626	0.66528
-0.57471	0.09082	0.80176
-0.39612	0.08508	0.85901
-0.28003	0.12268	0.91284
-0.11597	0.13574	0.99036
0.09583	0.10535	1.02820
0.34424	0.11804	1.00781
0.49780	0.09070	0.90344
0.60132	0.05493	0.83667
0.68835	0.00745	0.84644
0.72400	0.03564	0.81470
0.84753	0.06665	0.71191
1.01013	0.01196	0.46912
1.05957	0.07507	0.19897
1.04102	0.06494	-0.13110
0.96313	0.00769	-0.39526
0.72522	-0.14148	-0.69617
0.42505	-0.33655	-0.96509
0.23840	-0.23206	-0.90015
0.03003	-0.25525	-1.01086
-0.20459	-0.24780	-0.85876
-0.53711	-0.16602	-0.64746
-0.75134	-0.12036	-0.36389
-0.99536	-0.01514	-0.02026
-0.83472	0.05188	0.39917
-0.66711	0.10132	0.69189
-0.34460	0.15308	0.86438
-0.20264	0.13855	0.96411
0.08826	0.15210	1.02490
0.24121	0.17749	0.99768
0.28284	0.11023	0.99902
0.37964	0.09375	0.92725
0.50110	0.15759	0.95007
0.75696	0.08826	0.79553
0.92004	0.01843	0.55920
1.01709	0.00134	0.34583
1.03381	-0.02197	-0.03064
1.02344	-0.03406	-0.30347
0.81836	-0.20935	-0.69836
0.48657	-0.20569	-0.80103
0.49597	-0.16748	-0.89978
0.21497	-0.23132	-1.00903
0.07068	-0.31824	-0.94849
-0.29102	-0.21240	-0.83276
-0.57312	-0.14880	-0.66602
-0.73096	-0.13293	-0.46448
-0.92615	-0.14429	-0.20337
-0.83411	-0.04346	-0.00024
-0.93958	-0.06519	0.32373
-0.81775	0.07507	0.35449
-0.65247	0.10205	0.50146
-0.44812	0.32739	0.71460
-0.39783	0.70129	0.74780
-0.22034	0.72656	0.50208
-0.13220	0.87061	0.25610
-0.09460	0.91272	0.10889
-0.02783	0.93079	-0.01599
0.04968	0.97717	0.00037
0.31897	0.98535	-0.15405
0.58533	0.69055	-0.21497
0.84546	0.47656	-0.23437
1.00781	0.22717	-0.16296
1.05103	-0.12146	-0.09985
1.02710	-0.31067	0.07959
0.98804	-0.55969	0.14258
0.77258	-0.72412	0.17188
0.72021	-0.87573	0.20068
0.51758	-0.92847	0.12170
0.22571	-1.04980	0.14636
-0.05713	-1.01099	0.13025
-0.32056	-0.94397	0.07886
-0.59546	-0.77759	-0.02832
-0.71313	-0.61816	-0.05774
-0.80090	-0.53723	0.03345
-0.90869	-0.27600	-0.04858
-0.85962	-0.01733	-0.08484
-0.78296	0.26172	-0.07751
-0.75830	0.49805	-0.02271
-0.57031	0.63086	0.02271
-0.44165	0.81323	0.12939
-0.32715	0.79810	0.00952
-0.22668	0.89844	0.07446
-0.02893	0.96301	0.05334
0.23975	0.91956	0.04810
0.50696	0.85852	0.05701
0.78662	0.66785	0.04333
1.00171	0.43701	-0.01770
1.05798	0.13989	-0.03174
1.03540	0.10791	0.00598
0.99304	0.44629	0.00745
0.65674	0.71252	0.11243
0.24072	0.86365	0.09924
0.12427	0.99292	-0.07275
-0.20496	0.89111	-0.02380
-0.57642	0.77075	-0.10266
-0.80286	0.48584	-0.01001
-0.75757	0.08423	-0.05200
-0.84265	-0.28931	0.02673
-0.88147	-0.56335	0.06848
-0.59070	-0.75562	0.01782
-0.39148	-0.84119	-0.04370
-0.33960	-1.00061	0.02063
-0.11169	-1.02881	-0.01965
-0.04663	-1.03357	0.03076
0.25964	-1.07996	-0.00232
0.62842	-0.86304	0.10913
0.86157	-0.57312	0.14844
1.02686	-0.26733	0.19031
1.08423	0.04248	0.11194
0.93909	0.39075	0.13831
0.91211	0.53186	0.04822
0.71008	0.68103	0.02625
0.59900	0.94446	0.06934
0.13232	0.91382	-0.10022
-0.28210	0.97144	-0.07190
-0.48474	0.68896	-0.08386
-0.73157	0.33105	-0.10706
